id,participant_id,timestamp_utc,phase,post_id,category,has_face,has_text,colorfulness,visual_complexity,was_seen,liked,response,correct,confidence,dwell_time_sec,feed_position
247,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:38:01.007648,feed,ocean_dark,travel,0,0,dark,low,1,1,,,,9.506,8
248,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:38:04.149741,feed,eiffel_bright,travel,0,0,bright,medium,1,0,,,,3.017,9
249,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:38:04.731139,memory,lighthouse_darker,travel,0,0,dark,low,0,,0,1,4,4.182,
250,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:38:05.393029,memory,forest_dark,travel,0,0,dark,low,1,,0,0,3,0.52,
251,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:38:06.828630,feed,lighthouse_brighter,travel,0,0,bright,low,1,0,,,,2.499,10
252,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:38:11.502714,distractor,,,,,,,,,Coffee,,,,
253,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:38:24.671993,memory,lighthouse_bright,travel,0,0,bright,low,1,,1,1,2,12.977,
254,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:38:31.192459,memory,beach,travel,0,0,unknown,medium,1,,1,1,4,6.387,
255,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:38:41.145854,memory,forest_dark,travel,0,0,dark,low,1,,1,1,4,9.808,
256,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:38:45.189902,memory,eiffel_bright,travel,0,0,bright,medium,1,,1,1,3,3.854,
257,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:38:51.695553,memory,sunset_noperson,travel,0,0,unknown,medium,0,,0,1,5,6.368,
258,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:38:52.607000,memory,lighthouse_darker,travel,0,0,dark,low,0,,0,1,3,0.739,
259,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:39:02.961456,memory,ocean_dark,travel,0,0,dark,low,1,,1,1,4,10.199,
